,dutch_name,latin_name,english_name,species_key,ebird_code
285,Witoogeend,Aythya nyroca,Ferruginous Duck,2498259,ferduc
286,Vale Gier,Gyps fulvus,Griffon Vulture,2480389,eurgri1
287,Slangenarend,Circaetus gallicus,Short-toed Snake Eagle,2480666,shteag1
288,Steppekiekendief,Circus macrourus,Pallid Harrier,2480491,palhar1
289,Korhoen,Lyrurus tetrix,Black Grouse,2473682,blagro1
290,Kleinst Waterhoen,Zapornia pusilla,Baillon's Crake,9299354,baicra1
291,Kwartelkoning,Crex crex,Corn Crake,4408498,corcra
292,Steltkluut,Himantopus himantopus,Black-winged Stilt,5229126,bkwsti
293,Griel,Burhinus oedicnemus,Eurasian Stone-curlew,2482100,eutkne1
294,Gestreepte Strandloper,Calidris melanotos,Pectoral Sandpiper,2481744,pecsan
295,Breedbekstrandloper,Calidris falcinellus,Broad-billed Sandpiper,7537888,brbsan
296,Blonde Ruiter,Calidris subruficollis,Buff-breasted Sandpiper,8292425,bubsan
297,Terekruiter,Xenus cinereus,Terek Sandpiper,2481703,tersan
298,Vorkstaartmeeuw,Xema sabini,Sabine's Gull,2481221,sabgul
299,Kleine Burgemeester,Larus glaucoides,Iceland Gull,2481156,y00478
300,Witwangstern,Chlidonias hybrida,Whiskered Tern,2481121,whiter2
301,Zwarte Zeekoet,Cepphus grylle,Black Guillemot,2481312,blkgui
302,Papegaaiduiker,Fratercula arctica,Atlantic Puffin,2481353,atlpuf
303,Oehoe,Bubo bubo,Eurasian Eagle-Owl,5959092,eueowl1
304,Bijeneter,Merops apiaster,European Bee-eater,2475443,eubeat1
305,Hop,Upupa epops,Eurasian Hoopoe,2498415,hoopoe
306,Kuifleeuwerik,Galerida cristata,Crested Lark,2490669,crelar2
307,Roodstuitzwaluw,Cecropis daurica,Red-rumped Swallow,9717283,rerswa1
308,Siberische Boompieper,Anthus hodgsoni,Olive-backed Pipit,2490244,olbpip
309,Waterspreeuw,Cinclus cinclus,White-throated Dipper,2495093,whtdip1
310,Graszanger,Cisticola juncidis,Zitting Cisticola,2492822,zitcis1
311,Krekelzanger,Locustella fluviatilis,River Warbler,2493549,eurwar2
312,Waterrietzanger,Acrocephalus paludicola,Aquatic Warbler,2493114,aquwar1
313,Orpheusspotvogel,Hippolais polyglotta,Melodious Warbler,2493214,melwar1
314,Sperwergrasmus,Curruca nisoria,Barred Warbler,10983621,barwar1
315,Grauwe Fitis,Phylloscopus trochiloides,Greenish Warbler,2493084,grewar3
316,Pallas` Boszanger,Phylloscopus proregulus,Pallas's Leaf Warbler,2493090,palwar5
317,Kleine Vliegenvanger,Ficedula parva,Red-breasted Flycatcher,2492605,rebfly
318,Kortsnavelboomkruiper spec.,Certhia familiaris,Eurasian Treecreeper,2487603,eurtre1
319,Roodkopklauwier,Lanius senator,Woodchat Shrike,2492867,wooshr1
320,Notenkraker,Nucifraga caryocatactes,Spotted Nutcracker,2482613,eurnut1
321,Roze Spreeuw,Pastor roseus,Rosy Starling,5845386,rossta2
322,Witstuitbarmsijs,Acanthis hornemanni,Arctic Redpoll,5231646,hoared
323,Witbandkruisbek,Loxia leucoptera,Two-barred Crossbill,8144830,whwcro
324,Grote Kruisbek,Loxia pytyopsittacus,Parrot Crossbill,2494154,parcro2
325,Dwerggors,Emberiza pusilla,Little Bunting,2491544,litbun
